epoch,accuracy,loss,val_accuracy,val_loss
0,0.1979351043701172,1.6296080350875854,0.18453864753246307,1.6096043586730957
1,0.20088495314121246,1.6122928857803345,0.21695759892463684,1.6097766160964966
2,0.19616518914699554,1.6100221872329712,0.309226930141449,1.607874870300293
3,0.2144542783498764,1.6081839799880981,0.18703241646289825,1.6056480407714844
4,0.23244838416576385,1.6050512790679932,0.32917705178260803,1.5980687141418457
5,0.2424778789281845,1.5923603773117065,0.3067331612110138,1.5778379440307617
6,0.2693215310573578,1.5623780488967896,0.29925188422203064,1.5330933332443237
7,0.277581125497818,1.5404342412948608,0.2917705774307251,1.4963432550430298
8,0.28761062026023865,1.5187290906906128,0.32917705178260803,1.4793223142623901
9,0.2893805205821991,1.5132368803024292,0.32668328285217285,1.4659082889556885
