epoch,accuracy,loss,val_accuracy,val_loss
0,0.5890855193138123,1.0307830572128296,0.7107232213020325,0.7311307787895203
1,0.7256637215614319,0.7050408124923706,0.7556109428405762,0.6120423078536987
2,0.7690265774726868,0.5988284349441528,0.7605984807014465,0.5610004663467407
3,0.7946902513504028,0.5113745927810669,0.8129675984382629,0.472152441740036
4,0.7988200783729553,0.5055504441261292,0.8478803038597107,0.37310048937797546
5,0.8221238851547241,0.44356027245521545,0.8553615808486938,0.33271628618240356
6,0.8253687024116516,0.41815185546875,0.8628429174423218,0.3251190483570099
7,0.8362832069396973,0.40566569566726685,0.8403990268707275,0.3664204478263855
8,0.8466076850891113,0.37132906913757324,0.8703241944313049,0.31407877802848816
9,0.8359882235527039,0.39546486735343933,0.8802992701530457,0.29755377769470215
