epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
10,0.7746312618255615,4.999999873689376e-05,0.6083523631095886,0.8453865051269531,0.3514968156814575
11,0.8693215250968933,4.999999873689376e-05,0.3294330835342407,0.9152119755744934,0.21185679733753204
12,0.8820058703422546,4.999999873689376e-05,0.2853385806083679,0.9226932525634766,0.17424680292606354
13,0.8979350924491882,4.999999873689376e-05,0.23078112304210663,0.9127181768417358,0.18474885821342468
14,0.9017699360847473,4.999999873689376e-05,0.22396060824394226,0.9201995134353638,0.15125736594200134
15,0.9085545539855957,4.999999873689376e-05,0.21278837323188782,0.9301745891571045,0.13560903072357178
16,0.9212389588356018,4.999999873689376e-05,0.18662889301776886,0.9276807904243469,0.13567884266376495
17,0.9176990985870361,4.999999873689376e-05,0.18279357254505157,0.9476309418678284,0.11430290341377258
18,0.9218289256095886,4.999999873689376e-05,0.17502909898757935,0.9226932525634766,0.12058183550834656
19,0.929498553276062,4.999999873689376e-05,0.15686020255088806,0.9351620674133301,0.1152278408408165
20,0.9274336099624634,4.999999873689376e-05,0.1512923240661621,0.9451371431350708,0.1250355988740921
21,0.9265486598014832,4.999999873689376e-05,0.1631147861480713,0.9376558661460876,0.13288186490535736
22,0.9250737428665161,4.999999873689376e-05,0.1594211608171463,0.9226932525634766,0.15846234560012817
23,0.9389380812644958,2.499999936844688e-05,0.13667994737625122,0.9501246809959412,0.10754337161779404
24,0.9371681213378906,2.499999936844688e-05,0.135949969291687,0.9501246809959412,0.10838811844587326
25,0.9368731379508972,2.499999936844688e-05,0.1345919966697693,0.9600997567176819,0.10334241390228271
26,0.944837749004364,2.499999936844688e-05,0.11875055730342865,0.942643404006958,0.10411407798528671
27,0.9442477822303772,2.499999936844688e-05,0.12076122313737869,0.9401496052742004,0.10337692499160767
28,0.9466076493263245,2.499999936844688e-05,0.11942759156227112,0.9526184797286987,0.10176630318164825
29,0.943362832069397,2.499999936844688e-05,0.12321831285953522,0.9476309418678284,0.09914164245128632
30,0.944837749004364,2.499999936844688e-05,0.11272347718477249,0.942643404006958,0.11334744095802307
31,0.9480825662612915,2.499999936844688e-05,0.11289668083190918,0.9501246809959412,0.10394534468650818
32,0.9554572105407715,2.499999936844688e-05,0.1002821996808052,0.9551122188568115,0.11088079959154129
33,0.9551622271537781,2.499999936844688e-05,0.10155107825994492,0.9526184797286987,0.09121569246053696
34,0.950737476348877,2.499999936844688e-05,0.10357511788606644,0.9576059579849243,0.09332385659217834
35,0.9598820209503174,2.499999936844688e-05,0.10021872818470001,0.9526184797286987,0.1143583431839943
