epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
10,0.6967551708221436,4.999999873689376e-05,1.8695666790008545,0.8653366565704346,0.3810163140296936
11,0.8171091675758362,4.999999873689376e-05,0.5577476620674133,0.9127181768417358,0.2136346399784088
12,0.8356932401657104,4.999999873689376e-05,0.4313456118106842,0.9226932525634766,0.22271980345249176
13,0.8666666746139526,4.999999873689376e-05,0.33128395676612854,0.9301745891571045,0.14023549854755402
14,0.8764011859893799,4.999999873689376e-05,0.2804732620716095,0.9251870512962341,0.15163300931453705
15,0.8923304080963135,4.999999873689376e-05,0.2593771517276764,0.9127181768417358,0.1635562926530838
16,0.889675498008728,4.999999873689376e-05,0.24689437448978424,0.9027431607246399,0.21949021518230438
17,0.8999999761581421,4.999999873689376e-05,0.22104649245738983,0.9251870512962341,0.11741242557764053
18,0.8999999761581421,4.999999873689376e-05,0.21389952301979065,0.9177057147026062,0.13059626519680023
19,0.9085545539855957,4.999999873689376e-05,0.1938575804233551,0.9201995134353638,0.16189250349998474
20,0.9085545539855957,4.999999873689376e-05,0.19579629600048065,0.9276807904243469,0.12953293323516846
21,0.9120944142341614,4.999999873689376e-05,0.19509181380271912,0.9351620674133301,0.1147649884223938
22,0.9115044474601746,4.999999873689376e-05,0.1944718211889267,0.9226932525634766,0.15865102410316467
23,0.9165191650390625,4.999999873689376e-05,0.19059181213378906,0.9276807904243469,0.1178269162774086
24,0.9191740155220032,4.999999873689376e-05,0.17704206705093384,0.9376558661460876,0.11770887672901154
25,0.920648992061615,4.999999873689376e-05,0.17207686603069305,0.9326683282852173,0.12207142263650894
26,0.922123908996582,4.999999873689376e-05,0.16465997695922852,0.9251870512962341,0.14907236397266388
27,0.9292035102844238,2.499999936844688e-05,0.1446777880191803,0.9326683282852173,0.10650095343589783
28,0.9218289256095886,2.499999936844688e-05,0.1478094756603241,0.9526184797286987,0.10291586816310883
29,0.9356932044029236,2.499999936844688e-05,0.13226346671581268,0.9326683282852173,0.13026608526706696
30,0.937463104724884,2.499999936844688e-05,0.13448497653007507,0.9451371431350708,0.10223650932312012
31,0.9386430382728577,2.499999936844688e-05,0.14196377992630005,0.9326683282852173,0.12216883152723312
32,0.9380530714988708,2.499999936844688e-05,0.13250359892845154,0.9501246809959412,0.10927478224039078
33,0.9427728652954102,2.499999936844688e-05,0.1232910081744194,0.9476309418678284,0.0973852127790451
34,0.9398230314254761,2.499999936844688e-05,0.13522598147392273,0.9501246809959412,0.1022985428571701
35,0.9353982210159302,2.499999936844688e-05,0.14443261921405792,0.9551122188568115,0.09262050688266754
36,0.9392330646514893,2.499999936844688e-05,0.1364893764257431,0.9451371431350708,0.1007998138666153
37,0.9477875828742981,2.499999936844688e-05,0.12482667714357376,0.9650872945785522,0.08640467375516891
38,0.9442477822303772,2.499999936844688e-05,0.12095184624195099,0.9551122188568115,0.08742984384298325
39,0.9460176825523376,2.499999936844688e-05,0.11826258897781372,0.9600997567176819,0.08912388235330582
40,0.9407079815864563,2.499999936844688e-05,0.12669216096401215,0.9526184797286987,0.09079773724079132
41,0.9442477822303772,2.499999936844688e-05,0.12258803844451904,0.9376558661460876,0.09888991713523865
42,0.9469026327133179,2.499999936844688e-05,0.11883222311735153,0.9576059579849243,0.08958592265844345
43,0.9486725926399231,1.249999968422344e-05,0.10923999547958374,0.9576059579849243,0.09153004735708237
44,0.9533923268318176,1.249999968422344e-05,0.1081187054514885,0.9600997567176819,0.09141259640455246
45,0.9525073766708374,1.249999968422344e-05,0.10576358437538147,0.9501246809959412,0.0895778238773346
46,0.9501475095748901,1.249999968422344e-05,0.10303135961294174,0.9625934958457947,0.08717235177755356
47,0.9528023600578308,1.249999968422344e-05,0.10038025677204132,0.9650872945785522,0.08614339679479599
