epoch,accuracy,loss,val_accuracy,val_loss
0,0.610324501991272,0.9545877575874329,0.7082294225692749,0.674774706363678
1,0.7952802181243896,0.5401665568351746,0.8553615808486938,0.3898909091949463
2,0.8312684297561646,0.427275687456131,0.8778054714202881,0.2823018431663513
3,0.8389380574226379,0.3867843449115753,0.9002493619918823,0.23686560988426208
4,0.8610619306564331,0.3267613649368286,0.885286808013916,0.26365843415260315
5,0.8684365749359131,0.3118736743927002,0.8977556228637695,0.24395158886909485
6,0.8843657970428467,0.27469101548194885,0.8927680850028992,0.2240593284368515
7,0.8731563687324524,0.2714383602142334,0.910224437713623,0.19060556590557098
8,0.8952802419662476,0.23232732713222504,0.8902742862701416,0.2145508974790573
9,0.8926253914833069,0.24292609095573425,0.9326683282852173,0.15269030630588531
