epoch,accuracy,loss,val_accuracy,val_loss
0,0.20058996975421906,1.6277790069580078,0.21197007596492767,1.610125184059143
1,0.18820059299468994,1.6110204458236694,0.2069825381040573,1.6092926263809204
2,0.1941002905368805,1.60981023311615,0.18453864753246307,1.6094468832015991
3,0.19144542515277863,1.6098109483718872,0.18453864753246307,1.609516978263855
4,0.19174040853977203,1.6099720001220703,0.2094763070344925,1.6092782020568848
5,0.18053098022937775,1.6097699403762817,0.2094763070344925,1.6094138622283936
6,0.19203539192676544,1.6096769571304321,0.2094763070344925,1.609415054321289
7,0.19911503791809082,1.609632968902588,0.2094763070344925,1.609384298324585
8,0.18466076254844666,1.6096599102020264,0.2069825381040573,1.6092544794082642
9,0.19380530714988708,1.6096625328063965,0.2069825381040573,1.609228253364563
