epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
10,0.22713863849639893,4.999999873689376e-05,1.6238160133361816,0.18703241646289825,1.5838539600372314
11,0.2902655005455017,4.999999873689376e-05,1.5514037609100342,0.3466334044933319,1.4641162157058716
12,0.28289085626602173,4.999999873689376e-05,1.5365805625915527,0.2344139665365219,1.5693275928497314
13,0.29970502853393555,4.999999873689376e-05,1.5230003595352173,0.17456358671188354,1.5991424322128296
14,0.31120944023132324,4.999999873689376e-05,1.5083731412887573,0.19950124621391296,1.8479206562042236
15,0.32654866576194763,4.999999873689376e-05,1.4987387657165527,0.40648379921913147,1.3698333501815796
16,0.3168141543865204,4.999999873689376e-05,1.4977059364318848,0.42144638299942017,1.373314619064331
17,0.3221238851547241,4.999999873689376e-05,1.4962162971496582,0.2892768085002899,1.5142337083816528
18,0.3421829044818878,4.999999873689376e-05,1.4703179597854614,0.3990024924278259,1.3812596797943115
19,0.33598819375038147,4.999999873689376e-05,1.484275460243225,0.37157106399536133,1.41392183303833
20,0.34749263525009155,4.999999873689376e-05,1.4655042886734009,0.2643391489982605,1.5360488891601562
21,0.3563421964645386,2.499999936844688e-05,1.4542481899261475,0.25935161113739014,1.7128868103027344
22,0.36666667461395264,2.499999936844688e-05,1.437520146369934,0.2892768085002899,1.473631739616394
23,0.37994101643562317,2.499999936844688e-05,1.418869972229004,0.2369077354669571,1.9962241649627686
24,0.38731563091278076,2.499999936844688e-05,1.4169878959655762,0.28678303956985474,1.6441609859466553
25,0.3725663721561432,2.499999936844688e-05,1.4144097566604614,0.31421446800231934,1.5799723863601685
26,0.3808259665966034,1.249999968422344e-05,1.4025354385375977,0.43640896677970886,1.3279703855514526
27,0.3958702087402344,1.249999968422344e-05,1.3916908502578735,0.38154613971710205,1.4217873811721802
28,0.3958702087402344,1.249999968422344e-05,1.3921234607696533,0.3167082369327545,1.5822688341140747
29,0.39793509244918823,1.249999968422344e-05,1.3835391998291016,0.4613466262817383,1.2541755437850952
30,0.4126843512058258,1.249999968422344e-05,1.3735426664352417,0.4413965046405792,1.2803555727005005
31,0.39970502257347107,1.249999968422344e-05,1.37846839427948,0.35660848021507263,1.4396313428878784
32,0.4056047201156616,1.249999968422344e-05,1.366004228591919,0.4463840425014496,1.2840614318847656
33,0.41504424810409546,1.249999968422344e-05,1.350928544998169,0.32668328285217285,1.6511659622192383
34,0.4123893678188324,1.249999968422344e-05,1.3609815835952759,0.3341645896434784,1.5185465812683105
35,0.41415929794311523,6.24999984211172e-06,1.363590121269226,0.36907729506492615,1.4315654039382935
36,0.41474926471710205,6.24999984211172e-06,1.3582990169525146,0.471321702003479,1.2496997117996216
37,0.40383481979370117,6.24999984211172e-06,1.3668887615203857,0.37905237078666687,1.4095807075500488
38,0.4126843512058258,6.24999984211172e-06,1.344454050064087,0.3765586018562317,1.462780237197876
39,0.41887906193733215,6.24999984211172e-06,1.333917498588562,0.418952614068985,1.2866142988204956
40,0.4138643145561218,6.24999984211172e-06,1.3515859842300415,0.44887781143188477,1.2690414190292358
41,0.41946902871131897,6.24999984211172e-06,1.3461819887161255,0.3341645896434784,1.651504635810852
42,0.42979350686073303,3.12499992105586e-06,1.3218830823898315,0.32917705178260803,1.6738961935043335
43,0.42684364318847656,3.12499992105586e-06,1.3323906660079956,0.3915211856365204,1.3985956907272339
44,0.42271387577056885,3.12499992105586e-06,1.3355826139450073,0.4538653492927551,1.2619187831878662
45,0.4277286231517792,3.12499992105586e-06,1.3238285779953003,0.4039900302886963,1.3252090215682983
46,0.4215339124202728,3.12499992105586e-06,1.3257381916046143,0.39401495456695557,1.3508810997009277
