epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
10,0.728613555431366,4.999999873689376e-05,0.7084541320800781,0.8802992701530457,0.2923314869403839
11,0.8174041509628296,4.999999873689376e-05,0.4560791254043579,0.8778054714202881,0.27749398350715637
12,0.8442477583885193,4.999999873689376e-05,0.3992934823036194,0.9002493619918823,0.22488059103488922
13,0.8592920303344727,4.999999873689376e-05,0.33602866530418396,0.9077306985855103,0.17471539974212646
14,0.8775811195373535,4.999999873689376e-05,0.3013482689857483,0.9476309418678284,0.1564057171344757
15,0.8805309534072876,4.999999873689376e-05,0.2827138602733612,0.9326683282852173,0.14285746216773987
16,0.8902654647827148,4.999999873689376e-05,0.27439481019973755,0.9351620674133301,0.13252262771129608
17,0.883185863494873,4.999999873689376e-05,0.278878390789032,0.9301745891571045,0.142873615026474
18,0.8952802419662476,4.999999873689376e-05,0.2542363405227661,0.9276807904243469,0.1314430683851242
19,0.8967551589012146,4.999999873689376e-05,0.24004371464252472,0.9251870512962341,0.14474675059318542
20,0.9026548862457275,4.999999873689376e-05,0.2188657522201538,0.9301745891571045,0.12787330150604248
21,0.8958702087402344,4.999999873689376e-05,0.22554853558540344,0.9376558661460876,0.12370703369379044
22,0.9082595705986023,4.999999873689376e-05,0.2028714418411255,0.942643404006958,0.11555343121290207
23,0.9076696038246155,4.999999873689376e-05,0.21055512130260468,0.9376558661460876,0.12433688342571259
24,0.9064896702766418,4.999999873689376e-05,0.21700942516326904,0.9276807904243469,0.1192416325211525
